Contig,Locus tag,Log fold change,EdgeR adjusted p-value,Mean observed counts,Mean pseudodata counts,Classification,Classification uncertainty,Essential,Product name,COG Class,COG ID, Locus tag,Essential1,Identical Sites,Query coverage,E Value, Locus tag,Essential2,% Identical Sites,Query coverage,E Value, Locus tag,Essential3,% Identical Sites,Query coverage,E Value,"No essential homolog in J2315, E264 or K96243 ",Number of homologs,DEG best hit (Accession No.),,Contig,Locus tag,Log fold change,EdgeR p-value,Mean observed counts,Mean pseudodata counts,Classification,Classification uncertainty,Essential,Product name,COG Class,COG ID, Locus tag,Essential1
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00110,-7.7677038433,7.51910075784754E-030,4,1030.679,Reduced,1.6970640448477E-009,,cell division protein FtsZ,D,COG0206,BCAL3457,E,100.00%,100.00%,0,BTH_I1123,E,96.20%,100.00%,0,BPSL3020,E,96.20%,100.00%,0,,37,DEG10350376,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS06270,-3.9432458153,7.04E-06,22,391.401,Reduced,0.0698884384,,4-oxalocrotonate decarboxylase,Q,COG3971,BCAM2123,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00120,-9.2799019311,3.78267232116298E-024,1,793.2155,Reduced,5.50670620214077E-014,,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosaminedeacetylase,M,COG0774,BCAL3455,E,100.00%,100.00%,0,BTH_I1125,E,94.10%,100.00%,0,BPSL3018,E,94.40%,100.00%,0,,21,DEG10240116,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS32155,-3.9425446652,1.29E-10,40,709.8155,Reduced,0.0700255125,,dihydrolipoamide dehydrogenase,C,COG1249,BCAL1517,E
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00125,-8.3371185495,9.05016163212892E-013,1,412.5935,Reduced,4.33644231634389E-011,,hypothetical protein,-,-,BCAL3454,N,100.00%,100.00%,1.85E-113,BTH_RS17955,,75.50%,100.00%,4.62E-78,BPSL3017,,74.20%,100.00%,9.03E-77,*,,,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS03715,-3.9373270018,2.00E-04,15,266.3455,Reduced,0.0710525404,,phenylacetic acid degradation protein PaaY,R,COG0663,BCAM1605,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00130,-8.4160210414,2.93788510573926E-067,6,2401.931,Reduced,2.55371279678229E-011,,secA,U,COG0653,BCAL3453,E,100.00%,100.00%,0,BTH_I1127,E,93.10%,100.00%,0,BPSL3016,,92.80%,100.00%,0,,35,DEG10240117,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS03205,-3.9330444015,0.0126508672,7,124.8855,Reduced,0.071904755,,hypothetical protein,-,-,BCAM1511,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00160,-8.6748036478,1.83897670964103E-015,1,521.4455,Reduced,4.33586500037108E-012,,dephospho-CoA kinase,H,COG0237,BCAL3448,E,100.00%,100.00%,3.07E-145,BTH_I1133,E,80.10%,99.50%,5.09E-113,BPSL3011,,78.60%,99.50%,3.22E-105,,28,DEG10240118,,ENA|LAUA01000003|LAUA01000003.1,WQ49_RS09530,-3.9212825693,1.42E-05,21,368.057,Reduced,0.0742885938,,ABC transporter permease,P,COG0600,BCAS0347,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00190,-6.0628312978,2.53977347693123E-021,11,854.806,Reduced,1.9685396405622E-005,,octaprenyl diphosphate synthase,H,COG0142,BCAL3443,E,100.00%,100.00%,0,BTH_I1139,E,93.90%,99.40%,0,BPSL3006,E,93.60%,99.40%,0,,42,DEG10350374,,ENA|LAUA01000016|LAUA01000016.1,WQ49_RS19825,-3.919899585,0.0017357921,9,158.6045,Reduced,0.0745730962,,cytochrome B562,C,COG3783,BCAM0321,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00200,-5.8459290554,4.34720469893929E-007,4,271.9425,Reduced,5.43958823109314E-005,,50S ribosomal protein L21,J,COG0261,BCAL3442,E,100.00%,100.00%,4.90E-73,BTH_I1140,E,99.00%,100.00%,1.38E-72,BPSL3005,,99.00%,100.00%,1.48E-72,,24,DEG10240120,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS04440,-3.9164903318,0.0079986772,8,140.8325,Reduced,0.0752782427,,hypothetical protein,-,-,QU43_RS63135,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00210,-6.6754109897,3.79784467017419E-024,8,954.0215,Reduced,0.000000902,,obgE,R,COG0536,BCAL3440,E,100.00%,100.00%,0,BTH_I1142,E,92.30%,97.84%,0,BPSL3003,E,92.50%,97.84%,0,,32,DEG10350373,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS34315,-3.9091635796,5.84E-08,31,537.9155,Reduced,0.0768120916,,arginine N-succinyltransferase,E,COG3138,BCAL1060,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00215,-4.8333158113,1.67051384304553E-018,29,955.2345,Reduced,0.0037054733,,glutamate 5-kinase,E,COG0263,BCAL3439,N,100.00%,100.00%,0,BTH_I1143,E,93.30%,100.00%,0,BPSL3002,E,94.10%,100.00%,0,,11,DEG10350372,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS31415,-3.8879267957,2.44E-07,27,461.903,Reduced,0.0814021681,,ribokinase,G,COG0524,BCAL1661,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00230,-10.1812892192,1.0573156744121E-044,1,1481.7215,Reduced,0,,proline--tRNA ligase,J,COG0442,BCAL3436,E,100.00%,100.00%,0,BTH_I1146,E,90.80%,100.00%,0,BPSL2998,E,91.50%,99.83%,0,,37,DEG10350370,,ENA|LAUA01000007|LAUA01000007.1,WQ49_RS13025,-3.8866978553,2.67E-06,20,342.2915,Reduced,0.0816744355,,ATP synthase epsilon chain,C,COG0355,BCAL0037,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00245,-9.8489818064,2.26611098455529E-036,1,1176.887,Reduced,6.66133814775093E-016,,signal recognition particle protein,U,COG0541,BCAL3433,E,100.00%,100.00%,0,BTH_I1149,E,95.60%,100.00%,0,BPSL2995,E,95.20%,100.00%,0,,70,DEG10240125,,ENA|LAUA01000016|LAUA01000016.1,WQ49_RS18230,-3.8741825399,2.09E-04,13,221.1675,Reduced,0.0844891771,,hypothetical protein,-,-,BCAM0642,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00265,-10.9826368163,3.8277460350743E-081,1,2582.386,Reduced,0,,ribonucleoside-diphosphate reductase subunit alpha,F,COG0209,BCAL3429,E,100.00%,100.00%,0,BTH_I1153,E,91.50%,100.00%,0,BPSL2992,E,91.50%,100.00%,0,,29,DEG10350368,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS27855,-3.8740403688,3.81E-06,22,373.069,Reduced,0.0845215939,,triosephosphate isomerase,G,COG0149,BCAL2346,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00270,-9.672129795,4.45411391527267E-031,1,1041.0835,Reduced,2.66453525910037E-015,,ribonucleotide-diphosphate reductase subunit beta,F,COG0208,BCAL3428,E,100.00%,100.00%,0,BTH_I1154,E,94.80%,100.00%,0,BPSL2991,E,96.90%,86.85%,0,,23,DEG10240127,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS30785,-3.8734569254,8.84E-05,17,288.558,Reduced,0.0846547312,,cupin domain protein,K,COG1396,BCAL1785,E
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00305,-9.8465739094,5.75315779394167E-037,1,1174.9135,Reduced,6.66133814775093E-016,,acetyl-CoA carboxylase biotin carboxylase,I,COG0439,BCAL3421,E,100.00%,100.00%,0,BTH_I1162,E,94.90%,100.00%,0,BPSL2984,E,94.90%,100.00%,0,,34,DEG10350366,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS33870,-3.8728991932,3.14E-07,26,440.2255,Reduced,0.0847821586,,glyoxalase,E,COG0346,BCAL1160,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00310,-8.3260546567,6.9687685818522E-013,1,409.4465,Reduced,4.6687320676142E-011,,acetyl-CoA carboxylase,I,COG0511,BCAL3420,E,100.00%,100.00%,3.63E-111,BTH_I1163,E,91.10%,100.00%,3.82E-94,BPSL2983,E,91.10%,100.00%,6.56E-94,,24,DEG10240129,,ENA|LAUA01000004|LAUA01000004.1,WQ49_RS12245,-3.8722897172,9.83E-05,20,338.902,Reduced,0.084921584,,30S ribosomal protein S13,J,COG0099,BCAL0257,E
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00345,-6.1467963872,2.04265030115938E-018,9,742.8975,Reduced,1.31424608085239E-005,,aroE,E,COG0169,BCAL3413,N,100.00%,100.00%,0,BTH_I1171,,81.00%,95.14%,8.03E-158,BPSL2976,,81.70%,91.32%,1.86E-156,*,8,DEG10430408,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS05595,-3.8543348889,1.53E-05,21,351.3695,Reduced,0.0891120049,,hypothetical protein,-,-,BCAM1987,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00430,-9.3921913506,8.10809156995263E-027,1,857.4365,Reduced,2.37587727269783E-014,,thiamine monophosphate kinase,H,COG0611,BCAL3396,E,100.00%,100.00%,0,BTH_I1188,E,80.20%,98.80%,1.48E-179,BPSL2960,E,81.40%,98.80%,1.50E-180,,19,DEG10350364,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS07065,-3.8533732922,2.02E-06,27,450.9615,Reduced,0.0893409937,,amidohydrolase,R,COG3618,BCAM2279,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00465,-5.5870562137,1.6683498981763E-037,32,1776.767,Reduced,0.0001737851,,transketolase,G,COG0021,BCAL3389,LB,100.00%,100.00%,0,BTH_I1195,E,92.50%,100.00%,0,BPSL2953,E,93.30%,97.83%,0,,25,DEG10240134,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS03850,-3.8528678336,8.95E-08,33,550.5805,Reduced,0.0894615479,,2-nitropropane dioxygenase,R,COG2070,BCAM1633,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00545,-8.8818070008,2.36768052949693E-065,4,2231.1635,Reduced,1.00830455096456E-012,,leuS,J,COG0495,BCAL3373,E,100.00%,100.00%,0,BTH_I1211,E,91.60%,100.00%,0,BPSL2938,E,90.60%,100.00%,0,,83,DEG10240137,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS24875,-3.846046138,2.51E-07,29,481.786,Reduced,0.0911012265,,amidophosphoribosyltransferase,H,COG2226,BCAL0747,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00550,-4.746280189,2.55303212451433E-009,15,466.7215,Reduced,0.00511172,,hypothetical protein,M,COG2980,BCAL3372,N,99.50%,100.00%,1.40E-134,BTH_I1212,,78.20%,90.16%,1.48E-88,BPSL2937,,74.00%,92.35%,4.00E-86,*,,,,ENA|LAUA01000003|LAUA01000003.1,WQ49_RS09560,-3.8449184164,1.00E-05,23,382.1575,Reduced,0.0913745681,,ABC transporter permease,P,COG0600,BCAS0341,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00555,-9.5389457953,1.28033790085831E-028,1,949.271,Reduced,7.77156117237609E-015,,DNA polymerase III subunit delta,L,COG1466,BCAL3371,E,100.00%,100.00%,0,BTH_I1213,E,86.40%,96.98%,0,BPSL2936,,87.30%,96.98%,0,,16,DEG10240138,,ENA|LAUA01000016|LAUA01000016.1,WQ49_RS21420,-3.8412696282,7.37E-10,35,579.18,Reduced,0.0922634263,,hypothetical protein,-,-,BCAM0005,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00565,-8.128001973,1.5159865623748E-011,1,356.922,Reduced,1.72058811642727E-010,,membrane protein,S,COG1981,BCAL3369,E,100.00%,100.00%,2.40E-98,BTH_I1215,E,90.60%,100.00%,1.91E-87,BPSL2934,,89.90%,100.00%,4.24E-86,,6,DEG10240140,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS06070,-3.8348670127,0.0011507082,13,215.2185,Reduced,0.0938396255,,S-adenosylmethionine decarboxylase,E,COG1586,BCAM2082,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00580,-8.7223350336,9.46431625071461E-017,1,538.926,Reduced,3.11173309341938E-012,,2-dehydro-3-deoxyphosphogluconate aldolase,G,COG0800,BCAL3366,E,100.00%,100.00%,6.26E-152,BTH_I1218,E,88.90%,100.00%,1.63E-134,BPSL2931,,86.50%,100.00%,3.69E-132,,1,DEG10240141,,ENA|LAUA01000016|LAUA01000016.1,WQ49_RS22025,-3.8318963783,2.77E-07,24,395.1145,Reduced,0.0945781082,,oppB,EP,COG0601,BCAM2727,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00605,-7.9904448627,5.94084679873981E-034,4,1202.7555,Reduced,4.17583079226346E-010,,adenylosuccinate lyase,F,COG0015,BCAL3361,E,100.00%,100.00%,0,BTH_I1221,E,96.30%,100.00%,0,BPSL2928,E,94.80%,100.00%,0,,19,DEG10240142,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS35015,-3.8273044074,0.0038218679,10,165.062,Reduced,0.0957286314,,integration host factor subunit beta,L,COG0776,BCAL2949,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00665,-7.6954532719,1.88106458241526E-008,1,264.419,Reduced,2.65067545690556E-009,,hypothetical protein,-,-,BCAL3348a,N,100.00%,100.00%,6.63E-66,no homolog,,,,,no homolog,,,,,*,,,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS24470,-3.8179981619,6.99E-06,22,358.8515,Reduced,0.0980939734,,ATP-dependent dethiobiotin synthetase BioD,H,COG0132,BCAL0665,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00670,-8.1532565719,1.28226884607577E-011,1,363.2175,Reduced,1.45960354913654E-010,,50S ribosomal protein L13,J,COG0102,BCAL3348,E,100.00%,100.00%,1.02E-104,BTH_I1233,E,99.30%,100.00%,1.47E-104,BPSL2911,E,99.30%,100.00%,1.58E-104,,35,DEG10350355,,ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00520,-3.8094053022,5.44E-06,23,372.8575,Reduced,0.1003183034,,Fur family transcriptional regulator,P,COG0735,BCAL3378,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00675,-8.0761560882,3.34151581289358E-011,1,344.317,Reduced,2.40777842108741E-010,,30S ribosomal protein S9,J,COG0103,BCAL3347,E,100.00%,100.00%,5.18E-94,BTH_I1234,E,96.90%,100.00%,3.90E-91,BPSL2910,,94.60%,100.00%,5.33E-90,,28,DEG10240145,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS07620,-3.8025753778,4.50E-05,20,322.899,Reduced,0.102114101,,sarcosine oxidase subunit gamma,E,COG4583,BCAM2388,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00680,-6.4698518251,9.81448198818071E-009,3,317.0885,Reduced,2.62840371356709E-006,,iron--sulfur cluster insertion protein ErpA,S,COG0316,BCAL3346,E,100.00%,100.00%,2.03E-89,BTH_I1235,E,93.50%,100.00%,8.34E-83,BPSL2909,,93.50%,100.00%,8.94E-83,,20,DEG10240146,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS31740,-3.8012480403,3.40E-04,14,226.3095,Reduced,0.1024659726,,hypothetical protein,-,-,BCAL1599a,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00690,-9.706345007,1.94187010789607E-033,1,1066.058,Reduced,2.22044604925031E-015,,tyrosyl-tRNA synthetase,J,COG0162,BCAL3344,E,100.00%,100.00%,0,BTH_I1240,,94.90%,100.00%,0,BPSL2904,E,95.40%,100.00%,0,,36,DEG10350354,,ENA|LAUA01000016|LAUA01000016.1,WQ49_RS18835,-3.7972953102,0.0437024585,5,81.6435,Reduced,0.1035193836,,molecular chaperone,-,-,BCAM0525A,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00720,-5.0422948315,5.34579970931828E-011,13,497.1685,Reduced,0.0016654981,,Holliday junction DNA helicase RuvA,L,COG0632,BCAL3338,LB,100.00%,100.00%,4.56E-139,BTH_I1248,,90.70%,100.00%,1.88E-118,BPSL2898,E,90.70%,100.00%,5.24E-119,,9,DEG10350352,,ENA|LAUA01000014|LAUA01000014.1,WQ49_RS15970,-3.7957490203,4.59E-04,12,193.476,Reduced,0.1039337424,,short chain dehydrogenase/reductase,IQR,COG1028,BCAM1101,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00725,-6.6253924642,8.66144263639218E-013,4,466.864,Reduced,1.17392389886727E-006,,crossover junction endodeoxyribonuclease RuvC,L,COG0817,BCAL3337,LB,100.00%,100.00%,1.14E-128,BTH_I1249,,90.60%,100.00%,3.25E-118,BPSL2897,,90.00%,100.00%,6.72E-118,*,6,DEG10290232,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS03690,-3.7811663115,0.0039336345,11,175.704,Reduced,0.107904585,,RND transporter MFP subunit,S,COG5569,BCAM1600,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00745,-9.632781293,1.47395867724162E-030,1,1013.064,Reduced,3.77475828372553E-015,,hypothetical protein,HC,COG0654,BCAL3333,E,100.00%,100.00%,0,BTH_I1253,E,80.30%,99.75%,0,BPSL2893,E,78.40%,100.00%,0,,26,DEG10240147,,ENA|LAUA01000016|LAUA01000016.1,WQ49_RS19440,-3.7775046174,9.45E-07,24,380.4995,Reduced,0.1089196803,,LysR family transcriptional regulator,K,COG0583,BCAM0404,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00765,-6.7558428175,9.28186376902057E-028,8,1008.729,Reduced,5.87871698543018E-007,,mnmA,J,COG0482,BCAL3329,E,100.00%,100.00%,0,BTH_I1257,E,90.80%,100.00%,0,BPSL2889,,90.80%,100.00%,0,,32,DEG10240148,,ENA|LAUA01000001|LAUA01000001.1,WQ49_RS01570,-3.775849547,2.86E-08,32,506.214,Reduced,0.1093808854,,DNA polymerase III subunit beta,R,COG1708,BCAL3163,E
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00875,-9.3420531198,3.71357527445493E-025,1,828.142,Reduced,3.46389583683048E-014,,preprotein translocase subunit SecF,U,COG0341,BCAL3307,E,100.00%,100.00%,0,BTH_I1275,E,94.30%,100.00%,0,BPSL2872,,94.90%,100.00%,0,,27,DEG10240149,,ENA|LAUA01000009|LAUA01000009.1,WQ49_RS14370,-3.7747231026,0.0026610343,14,222.1885,Reduced,0.1096956337,,hypothetical protein,-,-,pBCA013,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00880,-10.4123409146,9.74496657104897E-053,1,1739.1195,Reduced,0,,preprotein translocase subunit SecD,U,COG0342,BCAL3306,E,100.00%,100.00%,0,BTH_I1276,E,85.70%,99.85%,0,BPSL2871,E,86.10%,99.85%,0,,25,DEG10350349,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS34900,-3.7723402939,1.70E-06,25,394.8635,Reduced,0.1103637062,,tRNA (guanine-N(1)-)-methyltransferase,J,COG0336,BCAL2926,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00920,-9.1873420491,8.88326751050672E-023,1,743.9175,Reduced,1.09690034832965E-013,,4-hydroxybenzoate polyprenyl transferase,H,COG0382,BCAL3296,E,100.00%,100.00%,0,BTH_I1286,E,83.80%,100.00%,4.33E-172,BPSL2861,,83.80%,100.00%,1.04E-170,,16,DEG10240152,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS06420,-3.7722167737,6.95E-08,37,583.5825,Reduced,0.1103984221,,cytochrome P450,Q,COG2124,BCAM2153,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00925,-9.112383376,2.42047824759538E-020,1,706.2345,Reduced,1.90292226420751E-013,,pyrroline-5-carboxylate reductase,E,COG0345,BCAL3292,N,100.00%,100.00%,0,BTH_I1287,E,84.80%,100.00%,1.67E-163,BPSL2847,,85.40%,99.26%,2.18E-162,,11,DEG10240153,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS03310,-3.7706305448,0.0031245062,12,190.127,Reduced,0.1108449772,,membrane protein,-,-,BCAM1531,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS01005,-6.5675203021,3.41661263142552E-020,7,776.067,Reduced,1.58821842677348E-006,,ppnK,G,COG0061,BCAL3276,E,100.00%,100.00%,0,BTH_I1301,E,87.90%,99.00%,0,BPSL2833,E,87.90%,99.00%,0,,30,DEG10350348,,ENA|LAUA01000007|LAUA01000007.1,WQ49_RS13425,-3.7686980676,0.0014499561,11,174.1825,Reduced,0.1113908627,,30S ribosomal protein S21,J,COG0828,BCAL0115,E
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS01015,-9.4852422855,7.00817247099096E-029,1,914.578,Reduced,1.17683640610266E-014,,ferrochelatase,H,COG0276,BCAL3274,E,100.00%,100.00%,0,BTH_I1303,E,84.50%,100.00%,0,BPSL2831,,84.50%,100.00%,0,,21,DEG10240155,,ENA|LAUA01000014|LAUA01000014.1,WQ49_RS14550,-3.7568199192,1.58E-04,14,219.443,Reduced,0.1147910978,,ABC transporter,P,COG1116,BCAM1387,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS01025,-8.5188162456,3.79150845011654E-015,1,467.985,Reduced,1.27111654535383E-011,,protein GrpE,O,COG0576,BCAL3272,N,100.00%,100.00%,2.66E-130,BTH_I1306,E,84.00%,100.00%,3.85E-94,BPSL2829,E,82.20%,100.00%,1.58E-92,,24,DEG10240156,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS34910,-3.750437618,0.0098038267,8,125.507,Reduced,0.1166501375,,rpsP,J,COG0228,BCAL2928,
