sgRNA,Locus_tag,Gene,Gene,Old_locus_tag,KEGG,COG,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,drug,Mean,Z_scores
1451,WQ49_RS00230,proS,proS,BCAL3436,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",1085.199716,0.297618277,0.098121679,3.033155172,0.002420111,0.157149728,PHAR,,2.815967644
1452,WQ49_RS28790,BCAL2169,BCAL2169,BCAL2169,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",655.5812808,0.251406473,0.110405046,2.277128458,0.022778556,0.409063492,PHAR,,2.084104629
1453,WQ49_RS30025,BCAL1935,BCAL1935,BCAL1935,Others,Carbohydrate transport and metabolism,566.9631858,0.012853047,0.107044555,0.120071933,0.904426166,0.994207867,PHAR,,-0.079011569
1454,WQ49_RS28890,BCAL2148,BCAL2148,BCAL2148,Biosynthesis of antibiotics,Lipid transport and metabolism,1189.372074,0.276036664,0.098875668,2.791755243,0.005242299,0.193531153,PHAR,,2.576223906
1455,WQ49_RS29880,BCAL1964,BCAL1964,BCAL1964,Metabolic pathways,Nucleotide transport and metabolism,477.5202159,0.132756255,0.11526843,1.151713919,0.249438651,0.76737149,PHAR,,0.966834114
1456,WQ49_RS23460,BCAL0462,BCAL0462,BCAL0462,DNA Replication,"Replication, recombination and repair",542.847812,0.239622258,0.114797484,2.087347638,0.036856721,0.442280658,PHAR,,1.901709382
1457,WQ49_RS29240,dxr,dxr,BCAL2089,Metabolic pathways,Nucleotide transport and metabolism,687.7693271,0.265943097,0.119666355,2.222371503,0.02625821,0.426309755,PHAR,,2.044286319
1458,WQ49_RS00210,proB,proB,BCAL3440,Ribosome biogenesis biogenesis,General function prediction only,420.0164733,0.118660671,0.137810011,0.861045365,0.389213058,0.846771671,PHAR,,0.706406347
1459,WQ49_RS02145,hemL,hemL,BCAL3050,Metabolic pathways,Coenzyme transport and metabolism,147.3326929,0.148381667,0.184735219,0.803212661,0.421851829,0.846771671,PHAR,,0.687854014
1460,WQ49_RS32415,aroC,aroC,BCAL1467,Biosynthesis of amino acids,Amino acid transport and metabolism,946.4146416,-0.007962016,0.089584867,-0.088876794,0.929179827,0.994207867,PHAR,,-0.326760776
1462,WQ49_RS02220,trxB,trxB,BCAL3035,Pyrimidine metabolism,"Posttranslational modification, protein turnover, chaperones",691.2537309,0.023676068,0.102401554,0.231208094,0.817153142,0.991149753,PHAR,,0.023097924
1463,WQ49_RS30170,BCAL1906,BCAL1906,BCAL1906,Others,Cell wall/membrane/envelope biogenesis,100.7277219,0.02650707,0.195453416,0.135618349,0.892122999,0.994207867,PHAR,,0.026585694
1464,WQ49_RS30025,BCAL1935,BCAL1935,BCAL1935,Others,Carbohydrate transport and metabolism,735.9128259,0.036314953,0.116042845,0.312944355,0.754322938,0.986697303,PHAR,,0.12929835
1465,WQ49_RS23575,gatB,gatB,BCAL0484,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",547.0579866,0.240354035,0.113476117,2.118102394,0.034166397,0.438601188,PHAR,,1.930302481
1466,WQ49_RS24210,glmU,glmU,BCAL0612,Amino sugar and nucleotide sugar metabolism,Cell wall/membrane/envelope biogenesis,332.0586283,0.106897848,0.126307985,0.846326916,0.397370397,0.846771671,PHAR,,0.677605953
1467,WQ49_RS00690,tyrZ,tyrZ,BCAL3344,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",386.2224892,0.181788768,0.127139297,1.429839334,0.152763137,0.668090003,PHAR,,1.262221569
1468,WQ49_RS29370,guaB,guaB,BCAL2063,adenosine nucleotides degradation I,Nucleotide transport and metabolism,334.8951859,0.002493846,0.129530984,0.019252894,0.984639362,1,PHAR,,-0.145269941
1469,WQ49_RS34830,thyA,thyA,BCAL2912,folate transformations II,Nucleotide transport and metabolism,357.7018269,0.294063484,0.148359217,1.982104581,0.047467537,0.48058255,PHAR,,1.838461299
1470,WQ49_RS29240,pyrH,pyrH,BCAL2089,Metabolic pathways,Nucleotide transport and metabolism,0.068823878,0,5.770684076,0,1,1,PHAR,,-0.003692943
1471,WQ49_RS23545,rodA,rodA,BCAL0478,Peptidoglycan biosynthesis,"Cell cycle control, cell division, chromosome partitioning",738.151441,-0.183631818,0.120446978,-1.524586346,0.127362305,0.634269819,PHAR,,-1.701517351
1473,WQ49_RS00120,WQ49_RS00120,WQ49_RS00120,BCAL3455,Lipopolysaccharide biosynthesis,Cell wall/membrane/envelope biogenesis,1331.289718,0.057518817,0.090535169,0.63532015,0.525219634,0.914186832,PHAR,,0.399933117
1474,WQ49_RS00125,WQ49_RS00125,WQ49_RS00125,BCAL3454,Others,#N/A,581.7904098,0.010140596,0.110117445,0.092088914,0.926627396,0.994207867,PHAR,,-0.101439049
1475,WQ49_RS00130,WQ49_RS00130,WQ49_RS00130,BCAL3453,Bacterial secretion system,"Intracellular trafficking, secretion, and vesicular transport",755.3137859,0.136068995,0.112136831,1.213419299,0.224969551,0.752625408,PHAR,,1.023376433
1476,WQ49_RS00160,WQ49_RS00160,WQ49_RS00160,BCAL3448,coenzyme A biosynthesis II (eukaryotic),Coenzyme transport and metabolism,562.8120317,-0.10574769,0.111839546,-0.945530396,0.34438816,0.830140893,PHAR,,-1.136078422
1477,WQ49_RS00190,WQ49_RS00190,WQ49_RS00190,BCAL3443,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,1369.933264,-0.105012158,0.092432716,-1.136092954,0.255917664,0.76737149,PHAR,,-1.366647737
1478,WQ49_RS00200,WQ49_RS00200,WQ49_RS00200,BCAL3442,Ribosome biogenesis biogenesis,"Translation, ribosomal structure and biogenesis",704.7999977,-0.035362288,0.105629465,-0.334776742,0.737793507,0.983565092,PHAR,,-0.536527312
1479,WQ49_RS00210,WQ49_RS00210,WQ49_RS00210,BCAL3440,Ribosome biogenesis biogenesis,General function prediction only,0.055253319,-1.19128463,5.7669399,-0.206571362,0.836344628,0.99282201,PHAR,,-0.210266702
1480,WQ49_RS00245,WQ49_RS00245,WQ49_RS00245,BCAL3433,Bacterial secretion system,"Intracellular trafficking, secretion, and vesicular transport",184.9576504,0.297979507,0.155057667,1.921733462,0.054639304,0.48058255,PHAR,,1.784295532
1481,WQ49_RS00265,WQ49_RS00265,WQ49_RS00265,BCAL3429,adenosine deoxyribonucleotides de novo biosynthesis,Nucleotide transport and metabolism,731.0257166,0.215005485,0.124555406,1.726183489,0.084314408,0.541180848,PHAR,,1.555088507
1482,WQ49_RS00305,WQ49_RS00305,WQ49_RS00305,BCAL3421,Fatty acid biosynthesis,Lipid transport and metabolism,480.5864755,0.258335889,0.131712128,1.961367511,0.049836167,0.48058255,PHAR,,1.799569163
1483,WQ49_RS00345,WQ49_RS00345,WQ49_RS00345,BCAL3413,Biosynthesis of amino acids,Amino acid transport and metabolism,2207.425635,-0.180987152,0.080442078,-2.249906478,0.024454883,0.409063492,PHAR,,-2.514827592
1484,WQ49_RS00430,WQ49_RS00430,WQ49_RS00430,BCAL3396,Metabolic pathways,Coenzyme transport and metabolism,1003.646587,0.04727972,0.102607725,0.460781294,0.644955524,0.942113949,PHAR,,0.253089281
1485,WQ49_RS00465,WQ49_RS00465,WQ49_RS00465,BCAL3389,Biosynthesis of amino acids,Carbohydrate transport and metabolism,1.313416901,1.795914542,2.041866162,0.87954567,0.379105482,0.846771671,PHAR,,0.869108745
1486,WQ49_RS00565,WQ49_RS00565,WQ49_RS00565,BCAL3369,Biosynthesis of secondary metabolites/cofactors,Function unknown,1202.476684,-0.152821813,0.093603912,-1.632643441,0.102544009,0.594890405,PHAR,,-1.860313464
1487,WQ49_RS00580,WQ49_RS00580,WQ49_RS00580,BCAL3366,"3,6-anhydro-&alpha;-L-galactopyranose degradation",Carbohydrate transport and metabolism,2656.170547,-0.227857937,0.08246252,-2.763169709,0.005724299,0.197488332,PHAR,,-3.021599901
1488,WQ49_RS00605,WQ49_RS00605,WQ49_RS00605,BCAL3361,adenosine ribonucleotides <i>de novo</i> biosynthesis,Nucleotide transport and metabolism,2732.190537,-0.021195455,0.091269044,-0.232230493,0.816358995,0.991149753,PHAR,,-0.46572483
1506,WQ49_RS27295,parC,parC,BCAL2455,Others,"Replication, recombination and repair",501.7776289,0.015057883,0.110977488,0.135684123,0.892071,0.994207867,PHAR,,-0.056344054
1507,WQ49_RS11660,hemA,hemA,BCAL0375,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,1482.361798,0.172193244,0.112997985,1.5238612,0.127543388,0.634269819,PHAR,,1.335266643
1508,WQ49_RS11660,hemA,hemA,BCAL0375,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,1122.546064,-0.069527223,0.083633232,-0.831334882,0.405784474,0.846771671,PHAR,,-1.086147525
1509,0,BCAL3292,BCAL3292,BCAL3292,Others,Amino acid transport and metabolism,1063.809858,-0.081059898,0.095275888,-0.850791312,0.394885288,0.846771671,PHAR,,-1.074466003
1510,0,BCAL3292,BCAL3292,BCAL3292,Others,Amino acid transport and metabolism,1.328626406,0.809191006,1.704893719,0.474628417,0.635051848,0.942113949,PHAR,,0.462128632
1511,WQ49_RS27050,hemC,hemC,BCAL2630,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,607.8121984,0.194104055,0.124407293,1.560230522,0.118705415,0.624051326,PHAR,,1.388931844
1513,WQ49_RS12210,hemB,hemB,BCAL0264,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,0.598273566,1.241385417,2.518532662,0.492900265,0.62208306,0.942113949,PHAR,,0.484438669
1514,WQ49_RS25500,ubiE,ubiE,BCAL0873,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,649.987981,0.02507885,0.108518701,0.231101639,0.817235842,0.991149753,PHAR,,0.034722538
1515,WQ49_RS25500,ubiE,ubiE,BCAL0873,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,630.7790279,0.125788564,0.111249425,1.130689573,0.258185772,0.76737149,PHAR,,0.939130786
1516,WQ49_RS12260,secY,secY,BCAL0254,Bacterial secretion system,"Intracellular trafficking, secretion, and vesicular transport",412.2374776,0.329284323,0.117992356,2.7907259,0.005258999,0.193531153,PHAR,,2.610114159
1517,WQ49_RS12265,secY,secY,BCAL0253,Ribosome biogenesis,"Translation, ribosomal structure and biogenesis",920.7433461,0.18305665,0.100843401,1.815256609,0.069484484,0.489054715,PHAR,,1.603930884
1518,WQ49_RS31415,BCAL1661,BCAL1661,BCAL1661,Others,Carbohydrate transport and metabolism,586.0476995,-0.076025231,0.116068761,-0.655001664,0.512466683,0.907659961,PHAR,,-0.838606664
1519,WQ49_RS31415,BCAL1661,BCAL1661,BCAL1661,Others,Carbohydrate transport and metabolism,183.0681558,-0.04881189,0.147636945,-0.330621107,0.740930701,0.983565092,PHAR,,-0.474967122
1520,WQ49_RS24690,lipA,lipA,BCAL0709,lipoate biosynthesis and incorporation (yeast),Coenzyme transport and metabolism,675.1614804,0.047928893,0.09919615,0.483172915,0.628972965,0.942113949,PHAR,,0.268337916
1521,WQ49_RS23690,diaminopimelate epimerase,diaminopimelate epimerase,BCAL0507,Biosynthesis of amino acids,Amino acid transport and metabolism,345.3610598,-0.11598203,0.13755391,-0.843175093,0.399130526,0.846771671,PHAR,,-0.998102022
1522,WQ49_RS31555,BCAL1635,BCAL1635,BCAL1635,Others,Signal transduction mechanisms,788.5618473,-0.084071079,0.099488028,-0.845037136,0.398090105,0.846771671,PHAR,,-1.059241852
1523,WQ49_RS31555,BCAL1635,BCAL1635,BCAL1635,Others,Signal transduction mechanisms,678.9078039,-0.236338012,0.129460287,-1.825563786,0.067915995,0.489054715,PHAR,,-1.990176466
1524,WQ49_RS29885,BCAL1963,BCAL1963,BCAL1963,DNA Replication,"Replication, recombination and repair",1194.826251,0.13490281,0.094595914,1.426095533,0.153840768,0.668090003,PHAR,,1.200813023
1526,WQ49_RS00215,proB,proB,BCAL3439,Arginine and proline metabolism,Amino acid transport and metabolism,359.1957126,-0.008470611,0.132697857,-0.063833817,0.949102551,0.998447565,PHAR,,-0.224430268
1527,WQ49_RS02145,hemL,hemL,BCAL3050,Metabolic pathways,Coenzyme transport and metabolism,613.0357384,0.015927093,0.10415158,0.15292224,0.878459597,0.994207867,PHAR,,-0.051691121
