,EG_Locus tag,Gene,old_locus_tag,Product,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
sgRNA1389,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,BCAM0905,0,594.5302256,0.042457383,0.157688277,-0.269248826,0.787738209,0.999054806
sgRNA1390,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,BCAM0905,0,312.6760086,-0.024296621,0.191725892,0.126725819,0.89915741,0.999054806
sgRNA1391,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,BCAM0905,0,368.8101819,-0.05326527,0.164163704,0.324464353,0.745586506,0.999054806
sgRNA1396,WQ49_RS21425,parA parB operon,BCAM0004,chromosome partitioning protein ParB,604.356009,0.149442579,0.146982749,-1.016735504,0.309279271,0.999054806
sgRNA1397,WQ49_RS21430,parA parB operon,BCAM0003,chromosome partitioning protein ParA,530.6898126,0.165817402,0.150052843,-1.105060049,0.26913357,0.999054806
sgRNA1398,WQ49_RS21425,parA parB operon,BCAM0004,chromosome partitioning protein ParB,16.0042854,0.312724122,0.570346201,-0.548305785,0.583481956,0.999054806
sgRNA1399,WQ49_RS21430,parA parB operon,BCAM0003,chromosome partitioning protein ParA,2423.592033,-0.006589975,0.149673841,0.044028903,0.964881365,0.999054806
sgRNA1404,WQ49_RS12400,rpoB,BCAL0226,DNA-directed RNA polymerase subunit beta',711.7026916,0.142429009,0.14291754,-0.996581729,0.318967578,0.999054806
sgRNA1405,WQ49_RS12395,rpoB,BCAL0227,DNA-directed RNA polymerase subunit beta',543.7747369,0.031020611,0.152783987,-0.203035747,0.839107092,0.999054806
sgRNA1406,WQ49_RS12400,rpoB,BCAL0226,DNA-directed RNA polymerase subunit beta',211.6033126,0.050336436,0.191449038,-0.262923421,0.792609604,0.999054806
sgRNA1407,WQ49_RS12400,rpoB,BCAL0226,DNA-directed RNA polymerase subunit beta',369.4331796,0.307171302,0.19545593,-1.571562971,0.11605194,0.999054806
sgRNA1408,WQ49_RS12400,rpoB,BCAL0226,DNA-directed RNA polymerase subunit beta',612.9707836,0.023536968,0.148767562,-0.15821304,0.874288928,0.999054806
sgRNA1410,WQ49_RS35055,gyrA,BCAL2957,DNA gyrase subunit A,820.4353198,0.030420404,0.140360625,-0.216730328,0.828418511,0.999054806
sgRNA1411,WQ49_RS35055,gyrA,BCAL2957,DNA gyrase subunit A,1336.709309,-0.068234776,0.164997307,0.413550847,0.679203077,0.999054806
sgRNA1412,WQ49_RS35055,gyrA,BCAL2957,DNA gyrase subunit A,357.2890348,-0.061518842,0.167449131,0.367388243,0.71332944,0.999054806
sgRNA1413,WQ49_RS35055,gyrA,BCAL2957,DNA gyrase subunit A,3162.255958,0.089917923,0.119889587,-0.750006115,0.453251022,0.999054806
sgRNA1414,WQ49_RS27295,parC/DNA topoisomerase IV subunit A/B,BCAL2455,DNA topoisomerase IV subunit B,5.745481244,0.002505278,0.934994366,-0.002679458,0.997862105,0.999054806
sgRNA1415,WQ49_RS27300,parC/DNA topoisomerase IV subunit A/B,BCAL2454,DNA topoisomerase IV subunit A,191.5835138,0.084224806,0.197686271,-0.426052886,0.67006931,0.999054806
sgRNA1416,WQ49_RS27295,parC/DNA topoisomerase IV subunit A/B,BCAL2455,DNA topoisomerase IV subunit B,253.047474,-0.217866571,0.182311733,1.195022213,0.232078352,0.999054806
sgRNA1417,WQ49_RS27300,parC/DNA topoisomerase IV subunit A/B,BCAL2454,DNA topoisomerase IV subunit A,310.7340186,0.153884295,0.171483058,-0.89737317,0.369519824,0.999054806
sgRNA1418,WQ49_RS00545,leuS,BCAL3373,leuS,352.3390606,0.067123268,0.168990291,-0.397201919,0.691218567,0.999054806
sgRNA1419,WQ49_RS00550,leuS,BCAL3372,hypothetical protein,229.6157508,-0.085229117,0.187161813,0.455376635,0.648838302,0.999054806
sgRNA1420,WQ49_RS00555,leuS,BCAL3371,DNA polymerase III subunit delta,103.7133186,-0.100689165,0.249376258,0.40376404,0.686386242,0.999054806
sgRNA1421,WQ49_RS00550,leuS,BCAL3372,hypothetical protein,3021.794352,0.031926218,0.136320158,-0.234200269,0.814829506,0.999054806
sgRNA1422,WQ49_RS26005,cbbA,BCAL2839,fructose-bisphosphate aldolase,22.55576983,0.384893883,0.487077608,-0.790210587,0.429404794,0.999054806
sgRNA1423,WQ49_RS26005,cbbA,BCAL2839,fructose-bisphosphate aldolase,473.7385932,-0.161197607,0.164361442,0.980750745,0.326715673,0.999054806
sgRNA1424,WQ49_RS26005,cbbA,BCAL2839,fructose-bisphosphate aldolase,594.604314,-0.002451124,0.154553735,0.015859366,0.987346587,0.999054806
sgRNA1425,WQ49_RS26005,cbbA,BCAL2839,fructose-bisphosphate aldolase,421.5444758,-0.056693518,0.168150428,0.337159525,0.735996647,0.999054806
sgRNA1431,WQ49_RS11660,hemA,BCAL0375,glutamyl-tRNA reductase,259.8564035,-0.001041873,0.211807568,0.00491896,0.996075253,0.999054806
sgRNA1432,WQ49_RS00925,pyrroline-5-carboxylate reductase,BCAL3292,pyrroline-5-carboxylate reductase,714.4348019,0.009524179,0.152726358,-0.062361067,0.950275298,0.999054806
sgRNA1433,WQ49_RS27050,hemC,BCAL2630,porphobilinogen deaminase,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1434,WQ49_RS12210,hemB,BCAL0264,delta-aminolevulinic acid dehydratase,511.403497,0.050253473,0.158433053,-0.317190584,0.751098994,0.999054806
sgRNA1435,WQ49_RS25500,ubiE,BCAL0873,ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,1577.018056,0.003857751,0.13335468,-0.0289285,0.976921616,0.999054806
sgRNA1436,WQ49_RS12260,secY,BCAL0254,secY,113.979612,0.014022323,0.243622211,-0.057557656,0.95410098,0.999054806
sgRNA1437,WQ49_RS00270,nrdB,BCAL3428,ribonucleotide-diphosphate reductase subunit beta,5.495519846,-0.131719265,0.956539146,0.137703998,0.890474359,0.999054806
sgRNA1438,WQ49_RS26970,metG,BCAL2646,methionine--tRNA ligase,5.50772234,0.142204772,0.955283907,-0.148861266,0.881663106,0.999054806
sgRNA1439,WQ49_RS34305,astD,BCAL1062,astD,558.6802318,-0.019379782,0.149013711,0.130053683,0.896523954,0.999054806
sgRNA1440,WQ49_RS30045,arnA1,BCAL1931,aminotransferase DegT,1059.208566,0.032875153,0.134486672,-0.244449151,0.806882979,0.999054806
sgRNA1441,WQ49_RS23480,fmt,BCAL0466,methionyl-tRNA formyltransferase,1807.062935,0.041347095,0.138614244,-0.298288934,0.765482649,0.999054806
sgRNA1442,WQ49_RS27525,dnaE,BCAL2409,dnaE,1306.680857,-0.046335094,0.129349015,0.358217607,0.720180472,0.999054806
sgRNA1444,WQ49_RS28880,cysS,BCAL2150,cysteine--tRNA ligase,1317.352116,0.009920951,0.130026624,-0.076299379,0.93918092,0.999054806
sgRNA1446,0,BCAL1661,BCAL1661,0,461.3486907,-0.016785496,0.159077875,0.10551748,0.915965201,0.999054806
sgRNA1447,WQ49_RS24690,lipA,BCAL0709,lipoyl(octanoyl) transferase,511.0421364,0.144966288,0.152936693,-0.947884285,0.343188366,0.999054806
sgRNA1448,WQ49_RS32320,pheS,BCAL1485,phenylalanine--tRNA ligase subunit alpha,858.8238424,0.001250161,0.14052927,-0.008896091,0.99290204,0.999054806
sgRNA1449,WQ49_RS25535,aspS,BCAL0880,aspartate--tRNA(Asp/Asn) ligase,1406.207254,-0.188085472,0.132674592,1.417644999,0.156294435,0.999054806
sgRNA1450,WQ49_RS23690,diaminopimelate epimerase,BCAL0507,diaminopimelate epimerase,380.9205361,0.040718763,0.176440479,-0.230779034,0.81748647,0.999054806
sgRNA1451,WQ49_RS00230,proS,BCAL3436,proline--tRNA ligase,2015.994024,0.040046129,0.128716566,-0.311118687,0.755710395,0.999054806
sgRNA1452,WQ49_RS28790,BCAL2169,BCAL2169,tryptophanyl-tRNA synthetase,1400.079279,-0.073447122,0.130951674,0.560871961,0.574884826,0.999054806
sgRNA1453,WQ49_RS30025,BCAL1935,BCAL1935,polysaccharide deacetylase,409.0504404,0.011343211,0.166390465,-0.068172242,0.945648523,0.999054806
sgRNA1454,WQ49_RS28890,BCAL2148,BCAL2148,acetyl-CoA carboxylase carboxyltransferase subunit alpha,2381.162567,0.034398331,0.124775368,-0.275682063,0.782792274,0.999054806
sgRNA1455,WQ49_RS29880,BCAL1964,BCAL1964,tmk,548.2324333,0.027125745,0.149446644,-0.18150789,0.85596894,0.999054806
sgRNA1456,WQ49_RS23460,BCAL0462,BCAL0462,DNA topoisomerase III,526.5622317,-0.04273247,0.151084102,0.282838961,0.777300287,0.999054806
sgRNA1457,WQ49_RS29240,dxr,BCAL2089,uridylate kinase,866.5894901,0.058112397,0.150847878,-0.385238412,0.700060787,0.999054806
sgRNA1458,WQ49_RS00210,proB,BCAL3440,obgE,478.6757583,0.073252442,0.159929007,-0.458030992,0.646930176,0.999054806
sgRNA1459,WQ49_RS02145,hemL,BCAL3050,diaminohydroxyphosphoribosylaminopyrimidine deaminase,132.5814788,0.04012299,0.22840848,-0.175663313,0.860558459,0.999054806
sgRNA1460,WQ49_RS32415,aroC,BCAL1467,chorismate synthase,826.7534601,-0.059585979,0.142981485,0.416739129,0.676869231,0.999054806
sgRNA1461,WQ49_RS01015,hemH,BCAL3274,ferrochelatase,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1462,WQ49_RS02220,trxB,BCAL3035,thioredoxin reductase,759.4780706,0.202281265,0.140002248,-1.444842985,0.148501994,0.999054806
sgRNA1463,WQ49_RS30170,BCAL1906,BCAL1906,UDP phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,111.8473228,0.18935744,0.240116956,-0.788605031,0.430342889,0.999054806
sgRNA1464,WQ49_RS30025,BCAL1935,BCAL1935,polysaccharide deacetylase,924.5048753,-0.130419402,0.135808239,0.960320247,0.336894063,0.999054806
sgRNA1465,WQ49_RS23575,gatB,BCAL0484,glutamyl-tRNA(Gln) amidotransferase subunit A,1085.598101,-0.082470047,0.143091359,0.576345402,0.56438174,0.999054806
sgRNA1466,WQ49_RS24210,glmU,BCAL0612,bifunctional protein GlmU,422.4335782,0.092739846,0.157257576,-0.589732135,0.555370247,0.999054806
sgRNA1467,WQ49_RS00690,tyrZ,BCAL3344,tyrosyl-tRNA synthetase,465.1735091,0.241461871,0.17200057,-1.403843431,0.160365478,0.999054806
sgRNA1468,WQ49_RS29370,guaB,BCAL2063,inosine-5-monophosphate dehydrogenase,598.7789085,-0.074623256,0.15762377,0.473426417,0.635908987,0.999054806
sgRNA1469,WQ49_RS34830,thyA,BCAL2912,thyA,265.4507724,0.038527677,0.182908669,-0.210638878,0.833169073,0.999054806
sgRNA1470,WQ49_RS29240,pyrH,BCAL2089,uridylate kinase,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1471,WQ49_RS23545,rodA,BCAL0478,cell wall shape-determining protein,705.509042,-0.087427749,0.169185831,0.516755736,0.605326683,0.999054806
sgRNA1472,WQ49_RS00035,WQ49_RS00035,BCAL3472,"2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1473,WQ49_RS00120,WQ49_RS00120,BCAL3455,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosaminedeacetylase,1307.865077,0.019371152,0.138224839,-0.140142334,0.888547533,0.999054806
sgRNA1474,WQ49_RS00125,WQ49_RS00125,BCAL3454,hypothetical protein,446.6172886,0.011848515,0.161034259,-0.073577602,0.941346494,0.999054806
sgRNA1475,WQ49_RS00130,WQ49_RS00130,BCAL3453,secA,954.4912774,0.161152294,0.135331451,-1.190797059,0.233733264,0.999054806
sgRNA1476,WQ49_RS00160,WQ49_RS00160,BCAL3448,dephospho-CoA kinase,466.8961835,-0.057672185,0.155600688,0.370642226,0.710904027,0.999054806
sgRNA1477,WQ49_RS00190,WQ49_RS00190,BCAL3443,octaprenyl diphosphate synthase,1621.041578,-0.13636605,0.130031951,1.048711872,0.294310748,0.999054806
sgRNA1478,WQ49_RS00200,WQ49_RS00200,BCAL3442,50S ribosomal protein L21,694.6628968,0.085742432,0.144367395,-0.59391826,0.552566785,0.999054806
sgRNA1479,WQ49_RS00210,WQ49_RS00210,BCAL3440,obgE,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1480,WQ49_RS00245,WQ49_RS00245,BCAL3433,signal recognition particle protein,314.4873778,-0.067222555,0.17158217,0.391780538,0.695220376,0.999054806
sgRNA1481,WQ49_RS00265,WQ49_RS00265,BCAL3429,ribonucleoside-diphosphate reductase subunit alpha,2074.069735,-0.06720363,0.124084872,0.541594062,0.588098183,0.999054806
sgRNA1482,WQ49_RS00305,WQ49_RS00305,BCAL3421,acetyl-CoA carboxylase biotin carboxylase,529.839464,0.075047012,0.151804959,-0.494364692,0.621048645,0.999054806
sgRNA1483,WQ49_RS00345,WQ49_RS00345,BCAL3413,aroE,1758.062778,-0.013207657,0.126171816,0.104679931,0.916629788,0.999054806
sgRNA1484,WQ49_RS00430,WQ49_RS00430,BCAL3396,thiamine monophosphate kinase,1406.005094,-0.056818368,0.13326023,0.426371528,0.669837145,0.999054806
sgRNA1485,WQ49_RS00465,WQ49_RS00465,BCAL3389,transketolase,6.4987436,-0.091044556,0.881335701,0.103302926,0.917722554,0.999054806
sgRNA1486,WQ49_RS00565,WQ49_RS00565,BCAL3369,membrane protein,1116.904297,-0.061375975,0.132334872,0.463792905,0.642796127,0.999054806
sgRNA1487,WQ49_RS00580,WQ49_RS00580,BCAL3366,2-dehydro-3-deoxyphosphogluconate aldolase,2305.095791,-0.001823601,0.124364515,0.014663352,0.988300757,0.999054806
sgRNA1488,WQ49_RS00605,WQ49_RS00605,BCAL3361,adenylosuccinate lyase,3851.585892,0.000521246,0.120109603,-0.00433975,0.996537391,0.999054806
sgRNA1506,WQ49_RS27295,parC,BCAL2455,DNA topoisomerase IV subunit B,367.8737476,-0.112680792,0.166549288,0.676561236,0.498684381,0.999054806
sgRNA1507,WQ49_RS11660,hemA,BCAL0375,glutamyl-tRNA reductase,1247.958342,0.10887541,0.129917914,-0.838032308,0.402012559,0.999054806
sgRNA1508,WQ49_RS11660,hemA,BCAL0375,glutamyl-tRNA reductase,896.8673453,0.030546713,0.138484799,-0.220578096,0.825420958,0.999054806
sgRNA1509,0,BCAL3292,BCAL3292,0,1200.718012,-0.110665527,0.158976626,0.696111935,0.486358732,0.999054806
sgRNA1510,0,BCAL3292,BCAL3292,0,7.010868889,0.341502517,0.849141552,-0.402173838,0.687556095,0.999054806
sgRNA1511,WQ49_RS27050,hemC,BCAL2630,porphobilinogen deaminase,435.9246935,0.179192625,0.178520068,-1.003767408,0.315490738,0.999054806
sgRNA1512,WQ49_RS27050,hemC,BCAL2630,porphobilinogen deaminase,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1513,WQ49_RS12210,hemB,BCAL0264,delta-aminolevulinic acid dehydratase,5.50772234,0.142204772,0.955283907,-0.148861266,0.881663106,0.999054806
sgRNA1514,WQ49_RS25500,ubiE,BCAL0873,ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,810.8136839,-0.257565807,0.138510306,1.859542548,0.062950274,0.999054806
sgRNA1515,WQ49_RS25500,ubiE,BCAL0873,ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,452.484975,0.071668726,0.157594669,-0.454766185,0.64927746,0.999054806
sgRNA1516,WQ49_RS12260,secY,BCAL0254,secY,951.8169899,0.008976608,0.135891872,-0.066056991,0.947332452,0.999054806
sgRNA1517,WQ49_RS12265,secY,BCAL0253,50S ribosomal protein L15,2231.298801,-0.025157878,0.151769266,0.16576398,0.868342694,0.999054806
sgRNA1518,WQ49_RS31415,BCAL1661,BCAL1661,ribokinase,524.1060191,-0.062888254,0.152667883,0.411928515,0.68039182,0.999054806
sgRNA1519,WQ49_RS31415,BCAL1661,BCAL1661,ribokinase,178.1286432,-0.241543075,0.203254267,1.188378863,0.23468418,0.999054806
sgRNA1520,WQ49_RS24690,lipA,BCAL0709,lipoyl(octanoyl) transferase,664.5635806,-0.134916657,0.14324426,0.941864317,0.346262111,0.999054806
sgRNA1521,WQ49_RS23690,diaminopimelate epimerase,BCAL0507,diaminopimelate epimerase,266.4992585,0.036170422,0.196186676,-0.184367371,0.853725265,0.999054806
sgRNA1522,WQ49_RS31555,BCAL1635,BCAL1635,diguanylate cyclase,641.9497152,-0.100376789,0.146504499,0.685144755,0.493252581,0.999054806
sgRNA1523,WQ49_RS31555,BCAL1635,BCAL1635,diguanylate cyclase,620.1685899,-0.211056806,0.148639533,1.419923764,0.155629877,0.999054806
sgRNA1524,WQ49_RS29885,BCAL1963,BCAL1963,DNA polymerase III subunit delta',1434.963871,-0.07959851,0.127535978,0.624125924,0.53254489,0.999054806
sgRNA1525,WQ49_RS00210,obgE,BCAL3440,obgE,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1526,WQ49_RS00215,proB,BCAL3439,glutamate 5-kinase,335.1294188,0.104615049,0.167163715,-0.625823906,0.53143045,0.999054806
sgRNA1527,WQ49_RS02145,hemL,BCAL3050,diaminohydroxyphosphoribosylaminopyrimidine deaminase,716.2782498,-0.171888423,0.143656874,1.196520701,0.231493425,0.999054806
sgRNA1528,WQ49_RS02150,hemL,BCAL3049,"glutamate-1-semialdehyde 2,1-aminomutase",83.80272293,-0.327900468,0.278090716,1.179113319,0.238353056,0.999054806
sgRNA1529,WQ49_RS32415,aroC,BCAL1467,chorismate synthase,121.0727555,-0.422607137,0.234033838,1.80575228,0.070957042,0.999054806
sgRNA1530,WQ49_RS32415,aroC,BCAL1467,chorismate synthase,956.4412372,0.119496265,0.137060029,-0.871853491,0.383288309,0.999054806
sgRNA1531,WQ49_RS02145,hemL,BCAL3050,diaminohydroxyphosphoribosylaminopyrimidine deaminase,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1532,WQ49_RS02150,hemL,BCAL3049,"glutamate-1-semialdehyde 2,1-aminomutase",358.9875822,-0.103456029,0.192147935,0.538418636,0.590288063,0.999054806
sgRNA1533,WQ49_RS02220,trxB,BCAL3035,thioredoxin reductase,408.0798643,-0.065006772,0.166513649,0.390399058,0.696241484,0.999054806
sgRNA1534,WQ49_RS02220,trxB,BCAL3035,thioredoxin reductase,695.4423133,-0.162418484,0.144981771,1.12026831,0.262599442,0.999054806
sgRNA1535,WQ49_RS34830,thyA,BCAL2912,thyA,269.9502077,-0.151868553,0.183667217,0.826868044,0.408311858,0.999054806
sgRNA1536,WQ49_RS34830,thyA,BCAL2912,thyA,249.3098173,0.015681676,0.182455355,-0.085948018,0.93150774,0.999054806
sgRNA1537,WQ49_RS34830,thyA,BCAL2912,thyA,300.4579668,0.014382088,0.180960763,-0.079476281,0.936653797,0.999054806
sgRNA1538,WQ49_RS23545,rodA,BCAL0478,cell wall shape-determining protein,227.0339779,-0.043348479,0.187095912,0.231691215,0.816777855,0.999054806
sgRNA1539,WQ49_RS26005,cbbA,BCAL2839,fructose-bisphosphate aldolase,367.2353795,0.014419846,0.173588741,-0.083069017,0.933796662,0.999054806
sgRNA1555,WQ49_RS00670,WQ49_RS00670,BCAL3348,50S ribosomal protein L13,657.227092,0.031369052,0.143481215,-0.218628284,0.826939619,0.999054806
sgRNA1556,WQ49_RS00680,WQ49_RS00680,BCAL3346,iron--sulfur cluster insertion protein ErpA,299.9262598,0.061714382,0.18139949,-0.340212542,0.733696474,0.999054806
sgRNA1557,WQ49_RS00920,WQ49_RS00920,BCAL3296,4-hydroxybenzoate polyprenyl transferase,896.6239273,-0.16174424,0.136106719,1.188363374,0.23469028,0.999054806
sgRNA1558,WQ49_RS01025,WQ49_RS01025,BCAL3272,protein GrpE,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1559,WQ49_RS01650,WQ49_RS01650,BCAL3147,molecular chaperone GroES,1114.119454,-0.069047098,0.131576032,0.524769569,0.599743389,0.999054806
sgRNA1560,WQ49_RS01680,WQ49_RS01675,BCAL3141,Holliday junction DNA helicase,605.260513,0.101998337,0.160026024,-0.637385939,0.523873485,0.999054806
sgRNA1561,WQ49_RS01710,WQ49_RS01710,BCAL3135,"dTDP-glucose 4,6-dehydratase",1311.451572,-0.068111355,0.132805126,0.512866916,0.608044417,0.999054806
sgRNA1562,WQ49_RS01810,WQ49_RS01810,BCAL3113,phosphoglucomutase,719.9144657,-0.028954551,0.16843757,0.171900785,0.863515529,0.999054806
sgRNA1563,WQ49_RS01815,WQ49_RS01815,BCAL3112,glycosyl transferase family 1,761.0529499,-0.046536369,0.156631459,0.297107419,0.766384501,0.999054806
sgRNA1564,WQ49_RS02245,WQ49_RS02245,BCAL3030,serine--tRNA ligase,264.7944859,-0.163626075,0.197317311,0.829253522,0.406960965,0.999054806
sgRNA1565,WQ49_RS02275,minE,BCAL3025,cell division topological specificity factor,126.3428787,-2.260001592,1.041085404,2.170812869,0.029945321,1.00676E-09
sgRNA1566,WQ49_RS02350,WQ49_RS02345,BCAL3012,guanylate kinase,7.696314871,0.23537267,0.811966226,-0.289879877,0.771908137,0.999054806
sgRNA1567,WQ49_RS02355,WQ49_RS02355,BCAL3011,DNA-directed RNA polymerase subunit omega,319.4988782,-0.172905456,0.170761811,1.012553423,0.311273517,0.999054806
sgRNA1568,WQ49_RS02650,WQ49_RS02650,BCAM1397A,farnesyl-diphosphate farnesyltransferase,442.283985,0.030943841,0.156114771,-0.198212128,0.842879099,0.999054806
